model,parameter,coefficient,clustered_se,z,p_value
small,ASC_BIKE,0.6014413208686666,0.06718530720263312,8.951976941248473,3.491719084583301e-19
small,B_winter_BIKE,-0.9566289332971495,0.13119448827963867,-7.291685388932745,3.0610130544865543e-13
small,B_female_BIKE,0.6791994281362173,0.07898378369104823,8.599226276534983,8.025531374053508e-18
small,B_female_winter_BIKE,-0.13289646553433573,0.17491582498697547,-0.7597738257486504,0.4473897909794171
small,B_distance_km_BIKE,-0.24215006227535726,0.012577094962922766,-19.25325864114208,1.325569349075555e-82
small,ASC_WALK,1.7998633212061554,0.06909129534810324,26.05050769619949,1.3276446884546035e-149
small,B_winter_WALK,0.0013985102329516453,0.12335348781230603,0.011337419458131664,0.9909542418413159
small,B_female_WALK,0.5494981939035172,0.08909761507872727,6.167372644239431,6.943399463443295e-10
small,B_female_winter_WALK,0.1931137809453443,0.173055101820577,1.1159092041421816,0.2644610015835033
small,B_distance_km_WALK,-0.7315101883314382,0.019917561921558895,-36.72689414559555,2.7187847500411117e-295
small,ASC_BUS,-2.1209347189242824,0.09714035826500231,-21.833713163156123,1.1102509796273136e-105
small,B_winter_BUS,0.1222879191388185,0.19770719003175885,0.618530459712541,0.5362257256591101
small,B_female_BUS,1.168455943985747,0.1570955569274542,7.437867542780557,1.0232358064497285e-13
small,B_female_winter_BUS,0.5140597196117015,0.2782014284250633,1.8477968374277032,0.06463173860688462
small,B_distance_km_BUS,-0.006763113683651615,0.005921503339878226,-1.1421278171213016,0.2534008943346805
full,ASC_BIKE,1.1744918379280749,0.22951180967152235,5.117348164388619,3.098613242168928e-07
full,B_winter_BIKE,-1.1186223945092335,0.11792398087708955,-9.485961940813016,2.4015767784144373e-21
full,B_distance_km_BIKE,-0.29869617482263294,0.01492799620821909,-20.009127190036136,4.586080002710909e-89
full,B_female_BIKE,0.5489296168493256,0.0594682362330037,9.230635573225232,2.6903076189314818e-20
full,B_female_winter_BIKE,-0.012028730672250392,0.164251985036102,-0.07323339605062623,0.9416203915217156
full,B_purpose_work_education_BIKE,0.4119335587966302,0.12406660099040881,3.3202615007440675,0.0008993316497454665
full,B_purpose_shopping_errands_BIKE,-1.3780790119174666,0.12135996445383573,-11.355301710241319,6.979852351948164e-30
full,B_purpose_leisure_social_BIKE,-0.7195974726491581,0.1333724268915197,-5.395399104752383,6.8371404431597e-08
full,B_weekday_BIKE,-0.10007970455728127,0.01744551638796437,-5.736700613019749,9.653868546081699e-09
full,B_morning_peak_BIKE,0.6468231545149744,0.0925228552127302,6.990955402616868,2.7302054675839128e-12
full,B_afternoon_peak_BIKE,0.7043061472992128,0.072067595163557,9.77285485523409,1.472433801799997e-22
full,B_car_access_BIKE,-1.789816142623005,0.09717549169862372,-18.4183903918271,9.354405251502575e-76
full,B_bike_access_BIKE,1.5019622573568951,0.12779495352292425,11.75290741889482,6.823016223536384e-32
full,B_age_16_24_BIKE,-0.2519832686589247,0.11715886008320278,-2.1507828642236153,0.03149334224853274
full,B_age_45_64_BIKE,-0.0045134258959236345,0.07981147252137684,-0.05655109163303247,0.9549027953747876
full,B_age_65plus_BIKE,0.025983122295832755,0.08404753576438338,0.3091479370516364,0.7572089954378989
full,B_student_BIKE,0.842801453835967,0.13722074552611704,6.141939038478389,8.152014591272967e-10
full,B_edu_higher_medium_BIKE,0.7336953452931844,0.10317588452109606,7.111112724632546,1.1511107073770662e-12
full,B_edu_primary_BIKE,0.3619760246834677,0.14612022757659238,2.4772478847511334,0.013239991140364685
full,B_edu_other_BIKE,0.31140240012623127,0.10523321872016692,2.9591644531400623,0.003084744351311533
full,ASC_WALK,5.090000725371257,0.21346777428939095,23.844351880817932,1.1589198524070849e-125
full,B_winter_WALK,-0.07776246249189217,0.07010773264485917,-1.1091852433141596,0.2673502772103946
full,B_distance_km_WALK,-0.8376409640205718,0.02093985267629601,-40.00223769333317,0.0
full,B_female_WALK,0.4546660526286614,0.06279798399799912,7.240137719120857,4.4822935447736647e-13
full,B_female_winter_WALK,0.31003330402316204,0.11754206132325026,2.6376371192823065,0.00834858660758801
full,B_purpose_work_education_WALK,-1.077450006956658,0.14654139093576912,-7.352530231058864,1.9448952696024442e-13
full,B_purpose_shopping_errands_WALK,-2.305718968419533,0.1195042522076033,-19.294032855115717,6.028240025014489e-83
full,B_purpose_leisure_social_WALK,-1.6012721497821727,0.11210110462193162,-14.284178154912645,2.7463018809586154e-46
full,B_weekday_WALK,-0.03944350088330326,0.01438425803897015,-2.7421296792953838,0.006104223711301363
full,B_morning_peak_WALK,0.2948028922774004,0.09946124288411434,2.963997671141967,0.003036705850240734
full,B_afternoon_peak_WALK,-0.045909853533433055,0.07980804194052948,-0.5752534759297023,0.5651198812036722
full,B_car_access_WALK,-2.3970629654772666,0.09770862527345275,-24.532767284041853,6.606317350449261e-133
full,B_bike_access_WALK,0.14097911258939638,0.08316221318781167,1.695230407961995,0.09003172059600935
full,B_age_16_24_WALK,-0.046156617984824094,0.09187920384630402,-0.5023619715081022,0.6154129241391939
full,B_age_45_64_WALK,0.05656039127441939,0.05733938510362628,0.9864143323511569,0.32392983479855875
